quantile,department,department_name,income
12,05,ANTIOQUIA,0
7,05,ANTIOQUIA,0
4,05,ANTIOQUIA,0
5,05,ANTIOQUIA,0
6,05,ANTIOQUIA,0
14,05,ANTIOQUIA,0
8,05,ANTIOQUIA,0
15,05,ANTIOQUIA,0
16,05,ANTIOQUIA,0
17,05,ANTIOQUIA,0
18,05,ANTIOQUIA,0
9,05,ANTIOQUIA,0
3,05,ANTIOQUIA,0
19,05,ANTIOQUIA,0
20,05,ANTIOQUIA,0
21,05,ANTIOQUIA,0
22,05,ANTIOQUIA,0
23,05,ANTIOQUIA,0
24,05,ANTIOQUIA,0
10,05,ANTIOQUIA,0
25,05,ANTIOQUIA,0
26,05,ANTIOQUIA,0
27,05,ANTIOQUIA,0
28,05,ANTIOQUIA,0
1,05,ANTIOQUIA,0
13,05,ANTIOQUIA,0
11,05,ANTIOQUIA,0
2,05,ANTIOQUIA,0
29,05,ANTIOQUIA,30000
31,05,ANTIOQUIA,50000
30,05,ANTIOQUIA,50000
32,05,ANTIOQUIA,60000
33,05,ANTIOQUIA,80000
34,05,ANTIOQUIA,80000
35,05,ANTIOQUIA,100000
44,05,ANTIOQUIA,100000
36,05,ANTIOQUIA,100000
43,05,ANTIOQUIA,100000
42,05,ANTIOQUIA,100000
41,05,ANTIOQUIA,100000
37,05,ANTIOQUIA,100000
40,05,ANTIOQUIA,100000
39,05,ANTIOQUIA,100000
38,05,ANTIOQUIA,100000
45,05,ANTIOQUIA,116000
46,05,ANTIOQUIA,125000
48,05,ANTIOQUIA,140000
47,05,ANTIOQUIA,140000
51,05,ANTIOQUIA,150000
50,05,ANTIOQUIA,150000
49,05,ANTIOQUIA,150000
56,05,ANTIOQUIA,200000
55,05,ANTIOQUIA,200000
54,05,ANTIOQUIA,200000
53,05,ANTIOQUIA,200000
52,05,ANTIOQUIA,200000
57,05,ANTIOQUIA,220000
58,05,ANTIOQUIA,240000
60,05,ANTIOQUIA,250000
59,05,ANTIOQUIA,250000
63,05,ANTIOQUIA,250000
62,05,ANTIOQUIA,250000
61,05,ANTIOQUIA,250000
64,05,ANTIOQUIA,260000
66,05,ANTIOQUIA,280000
65,05,ANTIOQUIA,280000
81,05,ANTIOQUIA,300000
80,05,ANTIOQUIA,300000
79,05,ANTIOQUIA,300000
78,05,ANTIOQUIA,300000
77,05,ANTIOQUIA,300000
76,05,ANTIOQUIA,300000
75,05,ANTIOQUIA,300000
74,05,ANTIOQUIA,300000
73,05,ANTIOQUIA,300000
72,05,ANTIOQUIA,300000
71,05,ANTIOQUIA,300000
70,05,ANTIOQUIA,300000
69,05,ANTIOQUIA,300000
68,05,ANTIOQUIA,300000
67,05,ANTIOQUIA,300000
82,05,ANTIOQUIA,320000
83,05,ANTIOQUIA,348000
85,05,ANTIOQUIA,350000
84,05,ANTIOQUIA,350000
86,05,ANTIOQUIA,360000
87,05,ANTIOQUIA,375000
108,05,ANTIOQUIA,400000
107,05,ANTIOQUIA,400000
106,05,ANTIOQUIA,400000
105,05,ANTIOQUIA,400000
104,05,ANTIOQUIA,400000
103,05,ANTIOQUIA,400000
102,05,ANTIOQUIA,400000
101,05,ANTIOQUIA,400000
100,05,ANTIOQUIA,400000
99,05,ANTIOQUIA,400000
98,05,ANTIOQUIA,400000
97,05,ANTIOQUIA,400000
96,05,ANTIOQUIA,400000
95,05,ANTIOQUIA,400000
94,05,ANTIOQUIA,400000
93,05,ANTIOQUIA,400000
92,05,ANTIOQUIA,400000
91,05,ANTIOQUIA,400000
90,05,ANTIOQUIA,400000
89,05,ANTIOQUIA,400000
88,05,ANTIOQUIA,400000
110,05,ANTIOQUIA,440000
109,05,ANTIOQUIA,440000
112,05,ANTIOQUIA,450000
111,05,ANTIOQUIA,450000
114,05,ANTIOQUIA,480000
113,05,ANTIOQUIA,480000
133,05,ANTIOQUIA,500000
132,05,ANTIOQUIA,500000
131,05,ANTIOQUIA,500000
130,05,ANTIOQUIA,500000
129,05,ANTIOQUIA,500000
128,05,ANTIOQUIA,500000
127,05,ANTIOQUIA,500000
126,05,ANTIOQUIA,500000
125,05,ANTIOQUIA,500000
124,05,ANTIOQUIA,500000
123,05,ANTIOQUIA,500000
122,05,ANTIOQUIA,500000
121,05,ANTIOQUIA,500000
120,05,ANTIOQUIA,500000
119,05,ANTIOQUIA,500000
118,05,ANTIOQUIA,500000
117,05,ANTIOQUIA,500000
116,05,ANTIOQUIA,500000
115,05,ANTIOQUIA,500000
134,05,ANTIOQUIA,500000
136,05,ANTIOQUIA,550000
135,05,ANTIOQUIA,550000
138,05,ANTIOQUIA,560000
137,05,ANTIOQUIA,560000
139,05,ANTIOQUIA,580000
148,05,ANTIOQUIA,600000
158,05,ANTIOQUIA,600000
147,05,ANTIOQUIA,600000
159,05,ANTIOQUIA,600000
153,05,ANTIOQUIA,600000
160,05,ANTIOQUIA,600000
146,05,ANTIOQUIA,600000
145,05,ANTIOQUIA,600000
150,05,ANTIOQUIA,600000
144,05,ANTIOQUIA,600000
154,05,ANTIOQUIA,600000
143,05,ANTIOQUIA,600000
152,05,ANTIOQUIA,600000
142,05,ANTIOQUIA,600000
141,05,ANTIOQUIA,600000
155,05,ANTIOQUIA,600000
140,05,ANTIOQUIA,600000
149,05,ANTIOQUIA,600000
156,05,ANTIOQUIA,600000
151,05,ANTIOQUIA,600000
157,05,ANTIOQUIA,600000
163,05,ANTIOQUIA,640000
161,05,ANTIOQUIA,640000
162,05,ANTIOQUIA,640000
165,05,ANTIOQUIA,650000
164,05,ANTIOQUIA,650000
179,05,ANTIOQUIA,700000
169,05,ANTIOQUIA,700000
168,05,ANTIOQUIA,700000
184,05,ANTIOQUIA,700000
167,05,ANTIOQUIA,700000
166,05,ANTIOQUIA,700000
178,05,ANTIOQUIA,700000
182,05,ANTIOQUIA,700000
177,05,ANTIOQUIA,700000
185,05,ANTIOQUIA,700000
176,05,ANTIOQUIA,700000
175,05,ANTIOQUIA,700000
174,05,ANTIOQUIA,700000
180,05,ANTIOQUIA,700000
173,05,ANTIOQUIA,700000
172,05,ANTIOQUIA,700000
181,05,ANTIOQUIA,700000
171,05,ANTIOQUIA,700000
183,05,ANTIOQUIA,700000
170,05,ANTIOQUIA,700000
186,05,ANTIOQUIA,780000
187,05,ANTIOQUIA,780000
189,05,ANTIOQUIA,790000
188,05,ANTIOQUIA,790000
219,05,ANTIOQUIA,800000
220,05,ANTIOQUIA,800000
190,05,ANTIOQUIA,800000
191,05,ANTIOQUIA,800000
192,05,ANTIOQUIA,800000
193,05,ANTIOQUIA,800000
